count,Region,destination,amount,year,Key
307,Southland,Hutt Valley,5,2015,1
309,Northland,Wairarapa,1,2015,1
311,Auckland,Wairarapa,1,2015,1
313,Waikato,Wairarapa,3,2015,1
315,Bay of Plenty,Wairarapa,4,2015,1
317,Taranaki,Wairarapa,4,2015,1
320,Manawatu-Wanganui,Wairarapa,4,2015,1
324,Tasman-Nelson-Marlborough,Wairarapa,5,2015,1
326,Canterbury,Wairarapa,3,2015,1
328,Otago,Wairarapa,0,2015,1
329,Southland,Wairarapa,3,2015,1
331,Northland,Nelson Marlborough,3,2015,1
333,Auckland,Nelson Marlborough,19,2015,1
335,Waikato,Nelson Marlborough,18,2015,1
337,Bay of Plenty,Nelson Marlborough,6,2015,1
339,Taranaki,Nelson Marlborough,4,2015,1
342,Manawatu-Wanganui,Nelson Marlborough,6,2015,1
346,Tasman-Nelson-Marlborough,Nelson Marlborough,4871,2015,1
348,Canterbury,Nelson Marlborough,160,2015,1
350,Otago,Nelson Marlborough,0,2015,1
351,Southland,Nelson Marlborough,47,2015,1
353,Northland,West Coast,3,2015,1
355,Auckland,West Coast,4,2015,1
357,Waikato,West Coast,7,2015,1
359,Bay of Plenty,West Coast,0,2015,1
361,Taranaki,West Coast,2,2015,1
364,Manawatu-Wanganui,West Coast,0,2015,1
368,Tasman-Nelson-Marlborough,West Coast,34,2015,1
370,Canterbury,West Coast,82,2015,1
372,Otago,West Coast,0,2015,1
373,Southland,West Coast,11,2015,1
375,Northland,Canterbury,23,2015,1
377,Auckland,Canterbury,40,2015,1
379,Waikato,Canterbury,30,2015,1
381,Bay of Plenty,Canterbury,20,2015,1
383,Taranaki,Canterbury,12,2015,1
386,Manawatu-Wanganui,Canterbury,7,2015,1
390,Tasman-Nelson-Marlborough,Canterbury,156,2015,1
392,Canterbury,Canterbury,12535,2015,1
394,Otago,Canterbury,0,2015,1
395,Southland,Canterbury,272,2015,1
397,Northland,South Canterbury,3,2015,1
399,Auckland,South Canterbury,3,2015,1
401,Waikato,South Canterbury,6,2015,1
403,Bay of Plenty,South Canterbury,5,2015,1
405,Taranaki,South Canterbury,3,2015,1
408,Manawatu-Wanganui,South Canterbury,0,2015,1
412,Tasman-Nelson-Marlborough,South Canterbury,24,2015,1
414,Canterbury,South Canterbury,192,2015,1
416,Otago,South Canterbury,0,2015,1
417,Southland,South Canterbury,109,2015,1
419,Northland,Southern,16,2015,1
421,Auckland,Southern,38,2015,1
423,Waikato,Southern,26,2015,1
425,Bay of Plenty,Southern,18,2015,1
427,Taranaki,Southern,5,2015,1
430,Manawatu-Wanganui,Southern,7,2015,1
434,Tasman-Nelson-Marlborough,Southern,48,2015,1
436,Canterbury,Southern,177,2015,1
438,Otago,Southern,0,2015,1
439,Southland,Southern,8950,2015,1
441,Northland,Waitemata,777,2016,1
443,Auckland,Waitemata,6444,2016,1
445,Waikato,Waitemata,630,2016,1
447,Bay of Plenty,Waitemata,199,2016,1
449,Taranaki,Waitemata,52,2016,1
452,Manawatu-Wanganui,Waitemata,28,2016,1
456,Tasman-Nelson-Marlborough,Waitemata,56,2016,1
458,Canterbury,Waitemata,126,2016,1
460,Otago,Waitemata,0,2016,1
461,Southland,Waitemata,58,2016,1
463,Northland,Auckland,180,2016,1
465,Auckland,Auckland,10835,2016,1
467,Waikato,Auckland,273,2016,1
469,Bay of Plenty,Auckland,134,2016,1
471,Taranaki,Auckland,46,2016,1
474,Manawatu-Wanganui,Auckland,15,2016,1
478,Tasman-Nelson-Marlborough,Auckland,31,2016,1
480,Canterbury,Auckland,90,2016,1
482,Otago,Auckland,0,2016,1
483,Southland,Auckland,77,2016,1
485,Northland,Counties Manukau,129,2016,1
487,Auckland,Counties Manukau,1296,2016,1
489,Waikato,Counties Manukau,227,2016,1
491,Bay of Plenty,Counties Manukau,73,2016,1
493,Taranaki,Counties Manukau,29,2016,1
496,Manawatu-Wanganui,Counties Manukau,12,2016,1
500,Tasman-Nelson-Marlborough,Counties Manukau,11,2016,1
502,Canterbury,Counties Manukau,39,2016,1
504,Otago,Counties Manukau,0,2016,1
505,Southland,Counties Manukau,27,2016,1
507,Northland,Waikato,60,2016,1
509,Auckland,Waikato,159,2016,1
511,Waikato,Waikato,10320,2016,1
513,Bay of Plenty,Waikato,334,2016,1
515,Taranaki,Waikato,100,2016,1
518,Manawatu-Wanganui,Waikato,18,2016,1
