Measure,,,Average Wage and Salary Income,,Average Self-employment Income,,Average Government Transfer Income,,Average Income from All Sources collected,,Median Wage and Salary Income,,Median Self-employment Income,,Median Government Transfer Income,,Median Income from All Sources collected,,Number of households (000),
Year,Region,,,,,,,,,,,,,,,,,,,
,  Southland Region,,,662,,311,,88,,1048,,575,,0,,0,,900,,31.5
2005,Total Regions,,,882,,234,,92,,1208,,760,,0,,0,,1017,,1357.9
,  Northland Region,,,647,,309,,117,,1074,,552,,0,,0,,850,,48.7
,  Auckland Region,,,987,,285,,92,,1365,,810,,0,,0,,1120,,433.6
,  Waikato Region,,,802,,247,,90,,1141,,719,,0,,0,,997,,127.7
,  Bay of Plenty Region,,,691,,243,,93,,1025,,600,,0,,0,,915,,78
,  Gisborne/Hawkes Bay Regions,,,734,,171,,113,,1016,,657,,0,,0,,900,,65.7
,  Taranaki Region,,,799,,242,,90,,1132,,710,,0,,0,,993,,34.8
,  Manawatu-Wanganui Region,,,770,,154,,100,,1026,,684,,0,,0,,909,,76.1
,  Wellington Region,,,964,,194,,90,,1251,,863,,0,,0,,1074,,156.1
,  Tasman/Nelson/Marlborough/West Coast Regions,,,775,,264,,88,,1124,,679,,0,,0,,946,,56.8
,  Canterbury Region,,,968,,168,,81,,1217,,856,,0,,0,,1074,,179.2
,  Otago Region,,,777,,193,,85,,1053,,652,,0,,0,,863,,69.2
,  Southland Region,,,777,,257,,84,,1118,,700,,0,,0,,960,,32
2006,Total Regions,,,937,,213,,99,,1248,,800,,0,,0,,1080,,1381.3
,  Northland Region,,,665,,274,,123,,1055,,547,,0,,0,,945,,49.2
,  Auckland Region,,,1031,,216,,95,,1344,,868,,0,,0,,1166,,440.6
,  Waikato Region,,,827,,260,,103,,1192,,747,,0,,0,,1074,,130.3
,  Bay of Plenty Region,,,803,,190,,116,,1107,,690,,0,,0,,959,,84.3
,  Gisborne/Hawkes Bay Regions,,,838,,195,,101,,1129,,767,,0,,0,,1019,,64.4
,  Taranaki Region,,,882,,235,,89,,1206,,766,,0,,0,,1055,,35.1
,  Manawatu-Wanganui Region,,,767,,146,,108,,1023,,700,,0,,0,,910,,77.7
