Region,destination,amount,year
Tasman-Nelson-Marlborough,West Coast,49,2018
Canterbury,West Coast,55,2018
Otago,West Coast,0,2018
Southland,West Coast,19,2018
Northland,Canterbury,13,2018
Auckland,Canterbury,42,2018
Waikato,Canterbury,45,2018
Bay of Plenty,Canterbury,18,2018
Taranaki,Canterbury,10,2018
Manawatu-Wanganui,Canterbury,22,2018
Tasman-Nelson-Marlborough,Canterbury,203,2018
Canterbury,Canterbury,11763,2018
Otago,Canterbury,0,2018
Southland,Canterbury,320,2018
Northland,South Canterbury,2,2018
Auckland,South Canterbury,1,2018
Waikato,South Canterbury,6,2018
Bay of Plenty,South Canterbury,1,2018
Taranaki,South Canterbury,1,2018
Manawatu-Wanganui,South Canterbury,2,2018
Tasman-Nelson-Marlborough,South Canterbury,17,2018
Canterbury,South Canterbury,119,2018
Otago,South Canterbury,0,2018
Southland,South Canterbury,70,2018
Northland,Southern,8,2018
Auckland,Southern,33,2018
Waikato,Southern,24,2018
Bay of Plenty,Southern,21,2018
Taranaki,Southern,8,2018
Manawatu-Wanganui,Southern,5,2018
Tasman-Nelson-Marlborough,Southern,35,2018
Canterbury,Southern,199,2018
Otago,Southern,0,2018
Southland,Southern,10046,2018
Northland,Waitematā,771,2019
Auckland,Waitematā,5904,2019
Waikato,Waitematā,433,2019
Bay of Plenty,Waitematā,149,2019
Taranaki,Waitematā,45,2019
Manawatu-Wanganui,Waitematā,32,2019
Tasman-Nelson-Marlborough,Waitematā,26,2019
Canterbury,Waitematā,81,2019
Otago,Waitematā,0,2019
Southland,Waitematā,74,2019
Northland,Auckland,225,2019
Auckland,Auckland,11437,2019
Waikato,Auckland,290,2019
Bay of Plenty,Auckland,147,2019
Taranaki,Auckland,61,2019
Manawatu-Wanganui,Auckland,21,2019
Tasman-Nelson-Marlborough,Auckland,26,2019
Canterbury,Auckland,96,2019
Otago,Auckland,0,2019
Southland,Auckland,62,2019
Northland,"Counties
Manukau",149,2019
Auckland,"Counties
Manukau",1285,2019
Waikato,"Counties
Manukau",187,2019
Bay of Plenty,"Counties
Manukau",70,2019
Taranaki,"Counties
Manukau",36,2019
Manawatu-Wanganui,"Counties
Manukau",18,2019
Tasman-Nelson-Marlborough,"Counties
Manukau",13,2019
Canterbury,"Counties
Manukau",41,2019
Otago,"Counties
Manukau",0,2019
Southland,"Counties
Manukau",22,2019
Northland,Waikato,70,2019
Auckland,Waikato,152,2019
Waikato,Waikato,13431,2019
Bay of Plenty,Waikato,423,2019
Taranaki,Waikato,132,2019
Manawatu-Wanganui,Waikato,42,2019
Tasman-Nelson-Marlborough,Waikato,13,2019
Canterbury,Waikato,43,2019
Otago,Waikato,0,2019
Southland,Waikato,55,2019
Northland,Lakes,16,2019
Auckland,Lakes,23,2019
Waikato,Lakes,137,2019
Bay of Plenty,Lakes,107,2019
Taranaki,Lakes,7,2019
Manawatu-Wanganui,Lakes,10,2019
Tasman-Nelson-Marlborough,Lakes,3,2019
Canterbury,Lakes,13,2019
Otago,Lakes,0,2019
Southland,Lakes,16,2019
Northland,"Bay of
Plenty",32,2019
Auckland,"Bay of
Plenty",67,2019
Waikato,"Bay of
Plenty",204,2019
Bay of Plenty,"Bay of
Plenty",9229,2019
Taranaki,"Bay of
Plenty",17,2019
Manawatu-Wanganui,"Bay of
Plenty",8,2019
Tasman-Nelson-Marlborough,"Bay of
Plenty",9,2019
Canterbury,"Bay of
Plenty",26,2019
Otago,"Bay of
Plenty",0,2019
Southland,"Bay of
Plenty",12,2019
Northland,Tairāwhiti,3,2019
Auckland,Tairāwhiti,7,2019
Waikato,Tairāwhiti,9,2019
Bay of Plenty,Tairāwhiti,7,2019
Taranaki,Tairāwhiti,0,2019
Manawatu-Wanganui,Tairāwhiti,2,2019
Tasman-Nelson-Marlborough,Tairāwhiti,3,2019
Canterbury,Tairāwhiti,1,2019
Otago,Tairāwhiti,0,2019
Southland,Tairāwhiti,4,2019
Northland,Taranaki,5,2019
Auckland,Taranaki,18,2019
Waikato,Taranaki,42,2019
Bay of Plenty,Taranaki,16,2019
Taranaki,Taranaki,4604,2019
Manawatu-Wanganui,Taranaki,22,2019
Tasman-Nelson-Marlborough,Taranaki,8,2019
Canterbury,Taranaki,14,2019
Otago,Taranaki,0,2019
Southland,Taranaki,11,2019
Northland,Hawkes Bay,16,2019
Auckland,Hawkes Bay,33,2019
Waikato,Hawkes Bay,42,2019
Bay of Plenty,Hawkes Bay,40,2019
Taranaki,Hawkes Bay,19,2019
Manawatu-Wanganui,Hawkes Bay,26,2019
Tasman-Nelson-Marlborough,Hawkes Bay,14,2019
Canterbury,Hawkes Bay,29,2019
Otago,Hawkes Bay,0,2019
Southland,Hawkes Bay,13,2019
Northland,MidCentral,7,2019
Auckland,MidCentral,11,2019
Waikato,MidCentral,27,2019
Bay of Plenty,MidCentral,8,2019
Taranaki,MidCentral,23,2019
Manawatu-Wanganui,MidCentral,65,2019
Tasman-Nelson-Marlborough,MidCentral,7,2019
Canterbury,MidCentral,19,2019
Otago,MidCentral,0,2019
Southland,MidCentral,7,2019
Northland,Whanganui,7,2019
Auckland,Whanganui,10,2019
Waikato,Whanganui,23,2019
Bay of Plenty,Whanganui,9,2019
Taranaki,Whanganui,44,2019
Manawatu-Wanganui,Whanganui,3043,2019
Tasman-Nelson-Marlborough,Whanganui,3,2019
Canterbury,Whanganui,11,2019
Otago,Whanganui,0,2019
Southland,Whanganui,6,2019
Northland,Capital and Coast,36,2019
Auckland,Capital and Coast,118,2019
Waikato,Capital and Coast,126,2019
Bay of Plenty,Capital and Coast,57,2019
Taranaki,Capital and Coast,154,2019
Manawatu-Wanganui,Capital and Coast,227,2019
Tasman-Nelson-Marlborough,Capital and Coast,49,2019
Canterbury,Capital and Coast,83,2019
Otago,Capital and Coast,0,2019
Southland,Capital and Coast,56,2019
Northland,Hutt Valley,4,2019
Auckland,Hutt Valley,12,2019
Waikato,Hutt Valley,6,2019
Bay of Plenty,Hutt Valley,7,2019
Taranaki,Hutt Valley,12,2019
Manawatu-Wanganui,Hutt Valley,14,2019
Tasman-Nelson-Marlborough,Hutt Valley,8,2019
Canterbury,Hutt Valley,10,2019
Otago,Hutt Valley,0,2019
Southland,Hutt Valley,10,2019
Northland,Wairarapa,2,2019
Auckland,Wairarapa,2,2019
Waikato,Wairarapa,2,2019
Bay of Plenty,Wairarapa,5,2019
Taranaki,Wairarapa,1,2019
Manawatu-Wanganui,Wairarapa,4,2019
Tasman-Nelson-Marlborough,Wairarapa,4,2019
Canterbury,Wairarapa,2,2019
Otago,Wairarapa,0,2019
Southland,Wairarapa,3,2019
Northland,Nelson Marlborough,2,2019
Auckland,Nelson Marlborough,20,2019
Waikato,Nelson Marlborough,9,2019
Bay of Plenty,Nelson Marlborough,12,2019
Taranaki,Nelson Marlborough,6,2019
Manawatu-Wanganui,Nelson Marlborough,4,2019
Tasman-Nelson-Marlborough,Nelson Marlborough,4916,2019
Canterbury,Nelson Marlborough,126,2019
Otago,Nelson Marlborough,0,2019
Southland,Nelson Marlborough,25,2019
Northland,West Coast,2,2019
Auckland,West Coast,2,2019
Waikato,West Coast,1,2019
Bay of Plenty,West Coast,4,2019
Taranaki,West Coast,1,2019
Manawatu-Wanganui,West Coast,1,2019
Tasman-Nelson-Marlborough,West Coast,30,2019
Canterbury,West Coast,57,2019
Otago,West Coast,0,2019
Southland,West Coast,18,2019
Northland,Canterbury,16,2019
Auckland,Canterbury,46,2019
Waikato,Canterbury,45,2019
Bay of Plenty,Canterbury,27,2019
Taranaki,Canterbury,17,2019
Manawatu-Wanganui,Canterbury,6,2019
Tasman-Nelson-Marlborough,Canterbury,228,2019
Canterbury,Canterbury,12369,2019
Otago,Canterbury,0,2019
Southland,Canterbury,278,2019
Northland,South Canterbury,2,2019
Auckland,South Canterbury,6,2019
Waikato,South Canterbury,10,2019
Bay of Plenty,South Canterbury,2,2019
Taranaki,South Canterbury,2,2019
Manawatu-Wanganui,South Canterbury,2,2019
Tasman-Nelson-Marlborough,South Canterbury,5,2019
Canterbury,South Canterbury,103,2019
Otago,South Canterbury,0,2019
Southland,South Canterbury,54,2019
Northland,Southern,11,2019
Auckland,Southern,25,2019
Waikato,Southern,20,2019
Bay of Plenty,Southern,14,2019
Taranaki,Southern,10,2019
Manawatu-Wanganui,Southern,6,2019
Tasman-Nelson-Marlborough,Southern,49,2019
Canterbury,Southern,172,2019
Otago,Southern,0,2019
Southland,Southern,9818,2019
Northland,Waitematā,705,2020
Auckland,Waitematā,5436,2020
Waikato,Waitematā,410,2020
Bay of Plenty,Waitematā,127,2020
Taranaki,Waitematā,36,2020
Manawatu-Wanganui,Waitematā,23,2020
Tasman-Nelson-Marlborough,Waitematā,31,2020
Canterbury,Waitematā,71,2020
Otago,Waitematā,0,2020
Southland,Waitematā,56,2020
Northland,Auckland,218,2020
Auckland,Auckland,11575,2020
Waikato,Auckland,270,2020
Bay of Plenty,Auckland,140,2020
Taranaki,Auckland,60,2020
Manawatu-Wanganui,Auckland,20,2020
Tasman-Nelson-Marlborough,Auckland,39,2020
Canterbury,Auckland,99,2020
Otago,Auckland,0,2020
Southland,Auckland,68,2020
Northland,"Counties
Manukau",146,2020
Auckland,"Counties
Manukau",1282,2020
Waikato,"Counties
Manukau",209,2020
Bay of Plenty,"Counties
Manukau",73,2020
Taranaki,"Counties
Manukau",19,2020
Manawatu-Wanganui,"Counties
Manukau",7,2020
Tasman-Nelson-Marlborough,"Counties
Manukau",12,2020
Canterbury,"Counties
Manukau",41,2020
Otago,"Counties
Manukau",0,2020
Southland,"Counties
Manukau",27,2020
Northland,Waikato,81,2020
Auckland,Waikato,170,2020
Waikato,Waikato,13821,2020
Bay of Plenty,Waikato,399,2020
Taranaki,Waikato,114,2020
Manawatu-Wanganui,Waikato,37,2020
Tasman-Nelson-Marlborough,Waikato,24,2020
Canterbury,Waikato,50,2020
Otago,Waikato,0,2020
Southland,Waikato,55,2020
Northland,Lakes,11,2020
Auckland,Lakes,27,2020
Waikato,Lakes,116,2020
Bay of Plenty,Lakes,128,2020
Taranaki,Lakes,5,2020
Manawatu-Wanganui,Lakes,6,2020
Tasman-Nelson-Marlborough,Lakes,5,2020
Canterbury,Lakes,16,2020
Otago,Lakes,0,2020
Southland,Lakes,7,2020
Northland,"Bay of
Plenty",27,2020
Auckland,"Bay of
Plenty",72,2020
Waikato,"Bay of
Plenty",254,2020
Bay of Plenty,"Bay of
Plenty",8827,2020
Taranaki,"Bay of
Plenty",18,2020
Manawatu-Wanganui,"Bay of
Plenty",11,2020
Tasman-Nelson-Marlborough,"Bay of
Plenty",11,2020
Canterbury,"Bay of
Plenty",15,2020
Otago,"Bay of
Plenty",0,2020
Southland,"Bay of
Plenty",18,2020
Northland,Tairāwhiti,0,2020
Auckland,Tairāwhiti,4,2020
Waikato,Tairāwhiti,13,2020
Bay of Plenty,Tairāwhiti,11,2020
Taranaki,Tairāwhiti,2,2020
Manawatu-Wanganui,Tairāwhiti,1,2020
Tasman-Nelson-Marlborough,Tairāwhiti,1,2020
Canterbury,Tairāwhiti,2,2020
Otago,Tairāwhiti,0,2020
Southland,Tairāwhiti,0,2020
Northland,Taranaki,13,2020
Auckland,Taranaki,13,2020
Waikato,Taranaki,37,2020
Bay of Plenty,Taranaki,15,2020
Taranaki,Taranaki,4425,2020
Manawatu-Wanganui,Taranaki,28,2020
Tasman-Nelson-Marlborough,Taranaki,9,2020
Canterbury,Taranaki,19,2020
Otago,Taranaki,0,2020
Southland,Taranaki,4,2020
Northland,Hawkes Bay,20,2020
Auckland,Hawkes Bay,35,2020
Waikato,Hawkes Bay,52,2020
Bay of Plenty,Hawkes Bay,22,2020
Taranaki,Hawkes Bay,15,2020
Manawatu-Wanganui,Hawkes Bay,17,2020
Tasman-Nelson-Marlborough,Hawkes Bay,10,2020
Canterbury,Hawkes Bay,26,2020
Otago,Hawkes Bay,0,2020
Southland,Hawkes Bay,16,2020
Northland,MidCentral,6,2020
Auckland,MidCentral,15,2020
Waikato,MidCentral,28,2020
Bay of Plenty,MidCentral,20,2020
Taranaki,MidCentral,11,2020
Manawatu-Wanganui,MidCentral,79,2020
Tasman-Nelson-Marlborough,MidCentral,13,2020
Canterbury,MidCentral,21,2020
Otago,MidCentral,0,2020
Southland,MidCentral,5,2020
Northland,Whanganui,7,2020
Auckland,Whanganui,10,2020
Waikato,Whanganui,24,2020
Bay of Plenty,Whanganui,12,2020
Taranaki,Whanganui,49,2020
Manawatu-Wanganui,Whanganui,3039,2020
Tasman-Nelson-Marlborough,Whanganui,4,2020
Canterbury,Whanganui,7,2020
Otago,Whanganui,0,2020
Southland,Whanganui,5,2020
Northland,"Capital and
Coast",23,2020
Auckland,"Capital and
Coast",79,2020
Waikato,"Capital and
Coast",88,2020
Bay of Plenty,"Capital and
Coast",43,2020
Taranaki,"Capital and
Coast",114,2020
Manawatu-Wanganui,"Capital and
Coast",228,2020
Tasman-Nelson-Marlborough,"Capital and
Coast",60,2020
Canterbury,"Capital and
Coast",55,2020
Otago,"Capital and
Coast",0,2020
Southland,"Capital and
Coast",49,2020
Northland,Hutt Valley,4,2020
Auckland,Hutt Valley,6,2020
Waikato,Hutt Valley,9,2020
Bay of Plenty,Hutt Valley,7,2020
Taranaki,Hutt Valley,3,2020
Manawatu-Wanganui,Hutt Valley,12,2020
Tasman-Nelson-Marlborough,Hutt Valley,12,2020
Canterbury,Hutt Valley,15,2020
Otago,Hutt Valley,0,2020
Southland,Hutt Valley,7,2020
Northland,Wairarapa,1,2020
Auckland,Wairarapa,2,2020
Waikato,Wairarapa,6,2020
Bay of Plenty,Wairarapa,4,2020
Taranaki,Wairarapa,4,2020
Manawatu-Wanganui,Wairarapa,10,2020
Tasman-Nelson-Marlborough,Wairarapa,1,2020
Canterbury,Wairarapa,5,2020
Otago,Wairarapa,0,2020
Southland,Wairarapa,7,2020
Northland,"Nelson
Marlborough",7,2020
Auckland,"Nelson
Marlborough",14,2020
Waikato,"Nelson
Marlborough",17,2020
Bay of Plenty,"Nelson
Marlborough",10,2020
Taranaki,"Nelson
Marlborough",8,2020
Manawatu-Wanganui,"Nelson
Marlborough",4,2020
Tasman-Nelson-Marlborough,"Nelson
Marlborough",5155,2020
Canterbury,"Nelson
Marlborough",133,2020
Otago,"Nelson
Marlborough",0,2020
Southland,"Nelson
Marlborough",34,2020
Northland,West Coast,4,2020
Auckland,West Coast,4,2020
Waikato,West Coast,2,2020
Bay of Plenty,West Coast,4,2020
Taranaki,West Coast,3,2020
Manawatu-Wanganui,West Coast,1,2020
Tasman-Nelson-Marlborough,West Coast,24,2020
Canterbury,West Coast,60,2020
Otago,West Coast,0,2020
Southland,West Coast,14,2020
Northland,Canterbury,14,2020
Auckland,Canterbury,42,2020
Waikato,Canterbury,44,2020
Bay of Plenty,Canterbury,23,2020
Taranaki,Canterbury,13,2020
Manawatu-Wanganui,Canterbury,8,2020
Tasman-Nelson-Marlborough,Canterbury,193,2020
Canterbury,Canterbury,12478,2020
Otago,Canterbury,0,2020
Southland,Canterbury,251,2020
Northland,"South
Canterbury",6,2020
Auckland,"South
Canterbury",1,2020
Waikato,"South
Canterbury",6,2020
Bay of Plenty,"South
Canterbury",0,2020
Taranaki,"South
Canterbury",0,2020
Manawatu-Wanganui,"South
Canterbury",5,2020
Tasman-Nelson-Marlborough,"South
Canterbury",10,2020
Canterbury,"South
Canterbury",87,2020
Otago,"South
Canterbury",0,2020
Southland,"South
Canterbury",66,2020
Northland,Southern,21,2020
Auckland,Southern,28,2020
Waikato,Southern,20,2020
Bay of Plenty,Southern,11,2020
Taranaki,Southern,9,2020
Manawatu-Wanganui,Southern,4,2020
Tasman-Nelson-Marlborough,Southern,26,2020
Canterbury,Southern,155,2020
Otago,Southern,0,2020
Southland,Southern,9601,2020
